ID,Descrição do Problema,Categoria,Possível Causa,Gravidade,Custo Estimado de Reparo (R$),Tempo Estimado de Reparo (horas),Região do Veículo
1,O carro está soltando fumaça e há um barulho incomum no sistema de escape.,Exaustão,Válvula de escape danificada,Baixo,604.31,8.4,Inferior
2,As luzes do carro estão piscando e há dificuldade para ligar o veículo.,Elétrica,Fusível queimado,Médio,869.88,10.1,Lateral Esquerda
3,O sistema de exaustão está fazendo um barulho alto e há um cheiro estranho.,Exaustão,Fumaça excessiva,Médio,4674.56,10.1,Lateral Esquerda
4,O sistema de arrefecimento não está funcionando e há um cheiro de líquido quente.,Sistema de Arrefecimento,Nível baixo de líquido de arrefecimento,Alto,2292.63,7.4,Frontal
5,A suspensão parece estar mais dura do que o normal e o carro está desconfortável.,Suspensão,Mola quebrada,Médio,4114.01,1.8,Lateral Esquerda
6,Os freios estão fazendo um barulho alto e não estão respondendo bem.,Freios,Mangueira do freio rachada,Alto,3999.44,7.3,Lateral Direita
7,Há um som de batida quando você dirige em estrada irregular.,Suspensão,Mola quebrada,Alto,4499.71,10.9,Traseira
8,Os freios estão vibrando e não estão funcionando corretamente.,Freios,Problema no cilindro mestre,Médio,2276.96,10.6,Frontal
9,O sistema elétrico está falhando e a bateria parece não carregar corretamente.,Elétrica,Alternador com defeito,Baixo,2768.66,2.2,Lateral Direita
10,O motor está fazendo um barulho estranho e não parece estar funcionando bem.,Motor,Desgaste de anéis,Baixo,1357.2,4.9,Inferior
11,Há um som de batida quando você dirige em estrada irregular.,Suspensão,Mola quebrada,Médio,4050.77,10.9,Lateral Esquerda
12,O carro está esquentando demais e parece estar perdendo potência.,Motor,Falha na injeção eletrônica,Alto,790.62,10.5,Lateral Direita
13,Há um cheiro de queimado quando você pisa no freio.,Freios,Mangueira do freio rachada,Médio,712.01,11.1,Lateral Direita
14,Há um cheiro de queimado quando você pisa no freio.,Freios,Problema no cilindro mestre,Alto,4306.03,6.7,Inferior
15,Há um barulho de vibração vindo dos pneus e eles parecem estar mal calibrados.,Pneus,Desgaste irregular dos pneus,Baixo,333.61,10.5,Lateral Esquerda
